,,Expert 1,Expert 2,Expert 3,Expert 4,Expert 5,,
keen-eager,0.65,6,1,5,5,5,4.4,
elegant-sleek,0.65,7,7,6,5,1,5.2,
stony-rocky,0.65,7,1,2,3,2,3,
polite-mannered,0.65,6,5,2,2,4,3.8,
gracious-generous,0.65,2,1,3,4,3,2.6,
diagonal-perpendicular,0.65,2,6,3,5,2,3.6,
considerate-polite,0.65,2,1,2,4,2,2.2,
calm-quiet,0.99,7,5,6,2,2,4.4,4.57
daring-fearless,0.99,7,6,7,3,2,5,
graceful-elegant,0.99,7,6,6,2,4,5,
affable-personable,0.99,6,6,3,5,5,5,
enlightening-informative,0.99,7,5,5,4,3,4.8,
adorable-cute,0.99,7,6,4,4,2,4.6,
considerate-respectful,0.99,5,2,2,3,4,3.2,
