ID,PoS,Phrase 1,Phrase 2,Phrase 3,Phrase 4,Phrase 5,Phrase 6,total,Mean
14,VV,4,3,4,3,4,4,22,3.67
15,VV,5,1,1,1,4,1,13,2.17
16,VV,4,4,4,3,5,3,23,3.83
17,VV,4,1,1,1,1,1,9,1.5
18,VV,5,3,1,3,1,4,17,2.83
19,VV,1,1,1,1,1,1,6,1
20,VV,4,4,3,4,4,6,25,4.17
21,VV,2,2,1,3,2,1,11,1.83
22,VV,3,5,1,4,2,2,17,2.83
23,VV,2,2,6,2,2,2,16,2.67
24,VV,4,2,4,3,2,3,18,3
25,VV,3,6,2,1,3,1,16,2.67
26,VV,3,5,5,5,2,3,23,3.83
27,VV,3,6,4,1,2,5,21,3.5
28,VV,4,3,6,4,2,5,24,4
29,VV,2,6,3,5,6,5,27,4.5
30,VV,6,5,4,3,5,4,27,4.5
31,VV,4,2,3,1,1,1,12,2
32,VV,1,1,2,4,2,1,11,1.83
33,VV,5,6,3,1,4,4,23,3.83
34,VV,5,6,4,5,2,5,27,4.5
35,VV,4,4,3,2,5,1,19,3.17
36,VV,3,3,3,2,4,3,18,3
37,VV,5,5,1,4,5,4,24,4
38,VV,2,1,1,1,1,1,7,1.17
39,VV,4,3,5,5,5,3,25,4.17
40,VV,3,4,3,4,4,4,22,3.67
41,VV,1,5,4,2,6,2,20,3.33
42,VV,4,4,3,4,3,1,19,3.17
43,VV,1,1,3,2,1,1,9,1.5
44,VV,5,3,6,1,2,3,20,3.33
45,VV,5,4,5,4,5,4,27,4.5
46,VV,6,4,4,4,4,4,26,4.33
47,VV,5,6,5,4,5,4,29,4.83
48,VV,2,2,4,4,4,4,20,3.33
49,VV,5,6,3,6,6,5,31,5.17
50,VV,2,2,2,2,2,2,12,2
51,VV,5,4,3,3,4,3,22,3.67
52,VV,4,4,4,5,4,4,25,4.17
53,VV,1,2,6,2,1,3,15,2.5
54,VV,3,6,3,4,5,6,27,4.5
55,VV,5,4,4,4,4,4,25,4.17
